CECaseNumber__c,AlarmId__c,RCA_Reason__c,RCA_Comments__c,Delay_Reason__c,Delay_Comments__c,Status,Date_Time_Resolved__c,Material1__c,Material2__c,Material3__c,Material4__c,Material5__c,Material_1_Quantity__c,Material_2_Quantity__c,Material_3_Quantity__c,Material_4_Quantity__c,Material_5_Quantity__c,GIS_Updation_Required__c,GIS_Updated__c,Material_Consumed__c,Customer_TID__c
MUM_170724_221277,,Fiber cut,17-16- fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 19:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220808,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220807,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220806,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221671,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 16:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221669,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 16:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221704,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 16:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221701,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 16:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221795,,Fiber cut,17-16-BMC Fiber Cut / 09-Area Power Fail Complaint number: 6698760,BMC issue/tree cutting,,Closed,18-07-2024 00:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221793,,Fiber cut,17-16-BMC Fiber Cut / 09-Area Power Fail Complaint number: 6698760,BMC issue/tree cutting,,Closed,18-07-2024 00:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221785,,Fiber cut,17-16-BMC Fiber Cut / 09-Area Power Fail Complaint number: 6698760,BMC issue/tree cutting,,Closed,18-07-2024 00:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221783,,Fiber cut,17-16-BMC Fiber Cut / 09-Area Power Fail Complaint number: 6698760,BMC issue/tree cutting,,Closed,18-07-2024 00:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221026,,Fiber cut,17-16-14-12-13 fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 20:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221024,,Fiber cut,17-16-14-12-13 fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 20:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221556,,Fiber cut,18-17- fiber13-04-Infra Power,BMC issue/tree cutting,,Closed,18-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221553,,Fiber cut,18-17- fiber13-04-Infra Power,BMC issue/tree cutting,,Closed,18-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
